created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-06-26 17:30:38 UTC,1,2025-06-26 20:03:12,28.984375,14,30,30,5,7,7
2025-06-26 17:31:07 UTC,2,2025-06-26 20:22:54,27.984375,14,22,22,7,10,10
2025-06-26 18:01:09 UTC,3,2025-06-26 20:32:44,28.3125,14,32,46,6,8,8
2025-06-26 18:01:38 UTC,4,2025-06-26 20:52:27,27.65625,4,26,26,7,10,10
2025-06-26 18:31:44 UTC,5,2025-06-26 21:02:17,28.65625,6,14,14,8,11,11
2025-06-26 18:32:12 UTC,6,2025-06-26 21:22:00,27.3125,8,18,32,7,10,10
2025-06-26 19:02:29 UTC,7,2025-06-26 21:31:54,30.234375,16,32,32,2,3,3
2025-06-26 19:02:57 UTC,8,2025-06-26 21:51:37,27.3125,12,24,24,5,7,7
2025-06-26 19:33:05 UTC,9,2025-06-26 22:11:19,27.3125,6,30,30,5,7,7
2025-06-26 19:33:34 UTC,10,2025-06-26 22:31:00,26.984375,6,22,30,7,10,10
2025-06-26 20:03:55 UTC,11,2025-06-26 22:40:52,26.984375,6,18,18,6,8,8
2025-06-26 20:04:23 UTC,12,2025-06-26 23:00:34,26.4375,6,14,14,8,11,11
2025-06-26 20:34:31 UTC,13,2025-06-26 23:10:24,26.90625,6,16,16,6,8,8
2025-06-26 20:35:00 UTC,14,2025-06-26 23:30:07,26.3125,2,10,10,4,6,6
2025-06-26 21:05:02 UTC,15,2025-06-26 23:39:57,26.65625,6,24,24,6,9,9
2025-06-26 21:05:30 UTC,16,2025-06-26 23:59:40,25.984375,2,12,12,3,4,4
2025-06-26 21:35:33 UTC,17,2025-06-27 00:09:32,26.5625,2,12,12,6,9,9
2025-06-26 21:36:02 UTC,18,2025-06-27 00:29:15,25.984375,4,12,12,3,4,4
2025-06-26 22:06:03 UTC,19,2025-06-27 00:39:06,26.3125,10,16,16,5,7,7
2025-06-26 22:06:32 UTC,20,2025-06-27 00:58:48,25.4375,,8,8,4,6,6
2025-06-26 22:36:32 UTC,21,2025-06-27 01:08:39,,2,18,18,4,5,5
2025-06-26 22:37:01 UTC,22,2025-06-27 01:28:20,,6,16,16,6,8,8
2025-06-26 23:07:05 UTC,23,2025-06-27 01:38:12,25.78,6,12,12,1,1,1
2025-06-26 23:07:34 UTC,24,2025-06-27 01:57:54,25.11,4,12,12,3,4,4
2025-06-26 23:37:34 UTC,25,2025-06-27 02:07:45,26.66,4,12,12,6,8,8
2025-06-26 23:38:03 UTC,26,2025-06-27 02:27:27,25.11,6,14,14,3,4,4
2025-06-27 00:08:08 UTC,27,2025-06-27 02:47:11,24.98,2,14,14,5,7,7
2025-06-27 00:08:37 UTC,28,2025-06-27 03:06:52,24.44,4,14,22,3,4,4
2025-06-27 00:38:42 UTC,29,2025-06-27 03:16:44,24.98,6,26,26,4,6,6
2025-06-27 00:39:11 UTC,30,2025-06-27 03:36:26,24.44,2,10,10,2,3,3
2025-06-27 01:09:13 UTC,31,2025-06-27 03:46:16,24.64,4,14,14,5,7,7
2025-06-27 01:09:42 UTC,32,2025-06-27 04:05:59,24.64,4,12,12,5,7,7
2025-06-27 01:39:44 UTC,33,2025-06-27 04:15:49,24.91,2,12,12,5,7,7
2025-06-27 01:40:13 UTC,34,2025-06-27 04:35:32,24.31,2,14,14,4,6,6
2025-06-27 02:10:13 UTC,35,2025-06-27 04:45:24,24.58,4,24,24,5,7,7
2025-06-27 02:10:42 UTC,36,2025-06-27 05:05:07,23.98,6,16,22,8,11,11
2025-06-27 02:40:44 UTC,37,2025-06-27 05:14:57,23.78,4,18,18,6,8,8
2025-06-27 02:41:13 UTC,38,2025-06-27 05:34:40,23.64,2,10,10,6,8,8
2025-06-27 03:11:14 UTC,39,2025-06-27 05:44:32,23.44,10,26,26,7,10,10
2025-06-27 03:11:43 UTC,40,2025-06-27 06:04:15,23.11,4,16,16,6,8,8
2025-06-27 03:41:43 UTC,41,2025-06-27 06:14:06,23.44,10,22,22,2,3,3
2025-06-27 03:42:12 UTC,42,2025-06-27 06:33:48,23.11,4,20,26,7,10,10
2025-06-27 04:12:17 UTC,43,2025-06-27 06:43:39,23.98,6,12,18,6,9,9
2025-06-27 04:12:45 UTC,44,2025-06-27 07:03:20,23.64,8,30,30,10,14,14
2025-06-27 06:45:07 UTC,45,2025-06-27 07:13:12,24.44,8,18,18,6,8,8
